"","data","sta","x","y","BPC"
"18695","RSMP","RSMP6056",-3.19358,53.51241,6581.37301488237
"18696","RSMP","RSMP5926",-3.24859,53.51257,112.141262254101
"18697","RSMP","RSMP5925",-3.2486,53.51258,357.482336910554
"18698","RSMP","RSMP5929",-3.24846,53.51258,107.507406998671
"18699","RSMP","RSMP5924",-3.24862,53.51259,108.890228346596
"18700","RSMP","RSMP5949",-3.23031,53.51259,237.742043942817
"18701","RSMP","RSMP5927",-3.24856,53.5126,138.112378611755
"18702","RSMP","RSMP5928",-3.24847,53.5126,156.218344252174
"18703","RSMP","RSMP5946",-3.23038,53.5126,986.389239740222
"18704","RSMP","RSMP5947",-3.23034,53.51262,144.366809998712
"18705","RSMP","RSMP5951",-3.2303,53.51264,493.606804778658
"18706","RSMP","RSMP5945",-3.23039,53.51265,325.572817639474
