"","data","sta","x","y","TotalDens"
"11868","RSMP","RSMP21508",1.76015,51.79569,1270
"11869","RSMP","RSMP22132",1.85447,51.79618,7670
"11870","RSMP","RSMP1536",-5.12285,51.79622,8320
"11871","RSMP","RSMP21530",1.76351,51.79722,7290
"11872","RSMP","RSMP23290",1.95566,51.79724,2980
"11873","RSMP","RSMP23395",1.97053,51.79739,10
"11874","RSMP","RSMP19162",1.38807,51.79883,130
"11875","RSMP","RSMP20099",1.5573,51.79952,600
"11876","RSMP","RSMP19965",1.54469,51.79973,600
"11877","RSMP","RSMP21226",1.72039,51.79999,540
"11878","RSMP","RSMP1420",-5.19,51.8,35913.3333333333
"11879","RSMP","RSMP1555",-5.11,51.8,920
"11880","RSMP","RSMP19616",1.50693,51.80098,3350
"11881","RSMP","RSMP19862",1.5362,51.80174,80
"11882","RSMP","RSMP18490",1.21498,51.80238,40
"11883","RSMP","RSMP19760",1.52755,51.80242,290
"11884","RSMP","RSMP1414",-5.1975,51.80328,52990
"11885","RSMP","RSMP22619",1.90054,51.8033,4040
"11886","RSMP","RSMP21863",1.8183,51.80337,5830
"11887","RSMP","RSMP1413",-5.19839,51.8038,17810
"11888","RSMP","RSMP1412",-5.19853,51.8041,12720
"11889","RSMP","RSMP23782",2.00838,51.80441,940
"11890","RSMP","RSMP19115",1.37498,51.80467,80
"11891","RSMP","RSMP20000",1.54707,51.80475,100
"11892","RSMP","RSMP24259",2.0498,51.80483,730
"11893","RSMP","RSMP24770",2.09312,51.80493,150
"11894","RSMP","RSMP23102",1.9332,51.80538,126340
"11895","RSMP","RSMP18475",1.21339,51.80643,360
"11896","RSMP","RSMP18491",1.21522,51.80647,250
"11897","RSMP","RSMP18479",1.21363,51.80648,460
"11898","RSMP","RSMP18474",1.21322,51.80664,60
"11899","RSMP","RSMP20094",1.55599,51.80709,50
"11900","RSMP","RSMP20161",1.56528,51.80709,10880
"11901","RSMP","RSMP18927",1.30107,51.80717,450
"11902","RSMP","RSMP19999",1.54686,51.80722,370
"11903","RSMP","RSMP19627",1.50854,51.80731,180
"11904","RSMP","RSMP19625",1.50851,51.80734,320
"11905","RSMP","RSMP20787",1.67235,51.8082,6000
"11906","RSMP","RSMP1547",-5.11529,51.80841,720
"11907","RSMP","RSMP19922",1.54088,51.80862,440
"11908","RSMP","RSMP19816",1.53301,51.80875,3700
"11909","RSMP","RSMP20791",1.67335,51.80959,170
