phy,cla,ord,fam,gen,taxon,Motility,Body size,Burrowing depth,Morphology,Mobility,Mixing type,Mixing rate,Mi,Mi2,Ri,Morphology 2,Morphology 2,Body size 2,Burrowing depth 2,Mixing rate 2
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea wassi,Crawler,1-3cm,10-15cm,Cylindrical,Intermediate,Surface mixing,Very low,3,3,2,1,1,2,4,24
Annelida,Polychaeta,,Paraonidae,Cirrophorus,Cirrophorus branchiatus,Crawler,1-3cm,10-15cm,Cylindrical,Intermediate,Surface mixing,Very low,3,3,2,1,1,2,4,24
Annelida,Polychaeta,,Paraonidae,Cirrophorus,Cirrophorus furcatus,Crawler,1-3cm,10-15cm,Cylindrical,Intermediate,Surface mixing,Very low,3,3,2,1,1,2,4,24
Annelida,Polychaeta,,Paraonidae,Paradoneis,Paradoneis lyra,Crawler-Swimmer,1-3cm,10-15cm,Cylindrical,Intermediate,Surface mixing,Very low,3,3,2,1,1,2,4,24
Mollusca,Bivalvia,Veneroida,Semelidae,Abra,Abra alba,Crawler,1-3cm,5-10cm,Bivalved,Low,Surface mixing,Very low,2,2,2,2,2,2,3,24
Mollusca,Bivalvia,Veneroida,Semelidae,Abra,Abra prismatica,Crawler,1-3cm,5-10cm,Bivalved,Low,Surface mixing,Very low,2,2,2,2,2,2,3,24
Mollusca,Bivalvia,Veneroida,Donacidae,Donax,Donax vittatus,Crawler,1-3cm,5-10cm,Bivalved,Low,Surface mixing,Very low,2,2,2,2,2,2,3,24
Mollusca,Bivalvia,Veneroida,Tellinidae,Tellina,Tellina fabula,Crawler,1-3cm,5-10cm,Bivalved,Low,Surface mixing,Very low,2,2,2,2,2,2,3,24
Mollusca,Bivalvia,Lucinoida,Thyasiridae,Thyasira,Thyasira,Crawler,1-3cm,5-10cm,Bivalved,Low,Downward conveying,Very low,2,2,3,2,2,2,3,24
Annelida,Polychaeta,,Maldanidae,Asychis,Asychis biceps,Tubicolous,>20cm,15-30cm,Cylindrical,Very low,Upward conveying,Low,1,1,3,1,1,5,5,25
Annelida,Polychaeta,,Maldanidae,Praxillura,Praxillura longissima,Tubicolous,>20cm,15-30cm,Cylindrical,Very low,Upward conveying,Low,1,1,3,1,1,5,5,25
Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Hypereteone,Hypereteone foliosa,Crawler,3-10cm,5-10cm,Cylindrical,Intermediate,Diffusion,Low,3,3,4,1,1,3,3,27
Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,Nephtys cirrosa,Crawler-Swimmer,3-10cm,5-10cm,Cylindrical,Intermediate,Diffusion,Low,3,3,4,1,1,3,3,27
Annelida,Polychaeta,Spionida,Chaetopteridae,Chaetopterus,Chaetopterus variopedatus,Tubicolous,>20cm,>30cm,Cylindrical,Very low,D/U conveying,Low,1,1,3,1,1,5,6,30
Arthropoda,Malacostraca,Amphipoda,Pontoporeiidae,Bathyporeia,Bathyporeia elegans,Crawler-Swimmer,<1cm,0-5cm,Articulated,Intermediate,Surface mixing,Low,3,3,2,4,5,1,2,30
Arthropoda,Malacostraca,Amphipoda,Pontoporeiidae,Bathyporeia,Bathyporeia guilliamsoniana,Crawler-Swimmer,<1cm,0-5cm,Articulated,Intermediate,Surface mixing,Low,3,3,2,4,5,1,2,30
